iter	Passed	Remaining
500	9404	9367
501	9421	9346
502	9436	9324
503	9453	9303
504	9469	9281
505	9485	9260
506	9500	9238
507	9516	9216
508	9532	9194
509	9547	9173
510	9560	9149
511	9577	9128
512	9593	9107
513	9609	9086
514	9626	9065
515	9642	9044
516	9658	9023
517	9673	9001
518	9691	8981
519	9707	8960
520	9722	8939
521	9739	8918
522	9754	8896
523	9771	8876
524	9786	8854
525	9802	8833
526	9817	8811
527	9831	8788
528	9848	8769
529	9865	8748
530	9881	8728
531	9898	8707
532	9913	8686
533	9931	8667
534	9947	8646
535	9962	8624
536	9978	8603
537	9994	8582
538	10011	8562
539	10027	8541
540	10043	8521
541	10060	8500
542	10075	8480
543	10091	8459
544	10107	8438
545	10123	8417
546	10139	8397
547	10155	8376
548	10172	8356
549	10189	8336
550	10205	8316
551	10222	8296
552	10238	8275
553	10252	8254
554	10268	8233
555	10284	8213
556	10300	8192
557	10316	8171
558	10332	8151
559	10348	8130
560	10364	8110
561	10380	8089
562	10395	8069
563	10411	8048
564	10427	8028
565	10444	8008
566	10461	7988
567	10477	7968
568	10493	7948
569	10509	7928
570	10525	7908
571	10541	7887
572	10556	7866
573	10573	7847
574	10589	7827
575	10605	7806
576	10621	7786
577	10637	7766
578	10653	7746
579	10671	7727
580	10687	7707
581	10704	7687
582	10721	7668
583	10735	7647
584	10751	7627
585	10767	7607
586	10782	7586
587	10798	7566
588	10813	7545
589	10829	7525
590	10845	7505
591	10862	7486
592	10879	7467
593	10895	7447
594	10912	7427
595	10927	7407
596	10943	7387
597	10961	7368
598	10977	7348
599	10994	7329
600	11010	7310
601	11026	7290
602	11042	7270
603	11057	7249
604	11072	7229
605	11088	7209
606	11105	7190
607	11121	7170
608	11139	7152
609	11155	7132
610	11170	7111
611	11186	7092
612	11217	7082
613	11232	7061
614	11247	7040
615	11263	7021
616	11279	7001
617	11295	6981
618	11309	6961
619	11326	6942
620	11343	6922
621	11360	6903
622	11375	6883
623	11391	6863
624	11407	6844
625	11422	6824
626	11438	6804
627	11455	6785
628	11471	6765
629	11488	6747
630	11504	6727
631	11520	6708
632	11538	6689
633	11554	6670
634	11570	6650
635	11586	6631
636	11604	6613
637	11621	6594
638	11636	6574
639	11652	6554
640	11666	6534
641	11681	6514
642	11698	6495
643	11714	6475
644	11729	6455
645	11746	6436
646	11763	6417
647	11779	6398
648	11796	6379
649	11812	6360
650	11828	6341
651	11843	6321
652	11859	6302
653	11876	6283
654	11892	6263
655	11910	6245
656	11926	6226
657	11941	6206
658	11958	6188
659	11975	6169
660	11992	6150
661	12007	6130
662	12023	6111
663	12039	6092
664	12054	6072
665	12070	6053
666	12088	6034
667	12103	6015
668	12119	5996
669	12136	5977
670	12151	5958
671	12167	5938
672	12184	5920
673	12200	5901
674	12216	5882
675	12232	5863
676	12248	5843
677	12265	5825
678	12282	5806
679	12298	5787
680	12315	5769
681	12331	5749
682	12347	5730
683	12361	5711
684	12377	5691
685	12393	5672
686	12409	5653
687	12425	5635
688	12441	5615
689	12457	5596
690	12475	5578
691	12490	5559
692	12507	5540
693	12522	5521
694	12539	5502
695	12554	5483
696	12571	5464
697	12587	5446
698	12604	5427
699	12620	5408
700	12636	5389
701	12653	5371
702	12668	5352
703	12684	5333
704	12699	5314
705	12715	5295
706	12732	5276
707	12747	5257
708	12763	5238
709	12779	5219
710	12794	5200
711	12811	5181
712	12826	5163
713	12842	5144
714	12858	5125
715	12874	5106
716	12890	5087
717	12907	5069
718	12923	5050
719	12939	5031
720	12956	5013
721	12973	4995
722	12990	4977
723	13005	4958
724	13021	4939
725	13036	4920
726	13052	4901
727	13069	4882
728	13084	4864
729	13100	4845
730	13117	4826
731	13133	4808
732	13149	4789
733	13165	4771
734	13181	4752
735	13198	4734
736	13214	4715
737	13230	4696
738	13245	4678
739	13261	4659
740	13277	4640
741	13293	4622
742	13309	4603
743	13325	4585
744	13340	4566
745	13356	4547
746	13373	4529
747	13390	4511
748	13405	4492
749	13421	4473
750	13437	4455
751	13453	4436
752	13470	4418
753	13487	4400
754	13503	4381
755	13519	4363
756	13535	4344
757	13552	4326
758	13568	4308
759	13585	4290
760	13601	4271
761	13617	4253
762	13633	4234
763	13649	4216
764	13665	4197
765	13683	4180
766	13699	4161
767	13716	4143
768	13732	4125
769	13748	4106
770	13765	4088
771	13782	4070
772	13797	4051
773	13813	4033
774	13829	4015
775	13846	3996
776	13862	3978
777	13878	3960
778	13893	3941
779	13927	3928
780	13943	3909
781	13958	3891
782	13975	3873
783	13991	3854
784	14009	3836
785	14024	3818
786	14042	3800
787	14057	3781
788	14074	3763
789	14089	3745
790	14105	3726
791	14119	3708
792	14137	3690
793	14151	3671
794	14169	3653
795	14185	3635
796	14202	3617
797	14218	3599
798	14234	3580
799	14251	3562
800	14267	3544
801	14297	3529
802	14311	3511
803	14327	3492
804	14344	3474
805	14361	3456
806	14378	3438
807	14393	3420
808	14409	3402
809	14426	3383
810	14441	3365
811	14457	3347
812	14474	3329
813	14490	3311
814	14506	3292
815	14524	3275
816	14540	3257
817	14556	3238
818	14574	3220
819	14590	3202
820	14608	3184
821	14625	3166
822	14641	3148
823	14657	3130
824	14669	3111
825	14685	3093
826	14701	3075
827	14717	3057
828	14732	3038
829	14747	3020
830	14764	3002
831	14777	2983
832	14793	2965
833	14810	2947
834	14826	2929
835	14842	2911
836	14857	2893
837	14872	2875
838	14890	2857
839	14905	2839
840	14920	2820
841	14937	2802
842	14952	2784
843	14971	2767
844	14987	2749
845	15004	2731
846	15020	2713
847	15036	2695
848	15052	2677
849	15067	2658
850	15084	2641
851	15101	2623
852	15116	2605
853	15132	2586
854	15148	2569
855	15164	2551
856	15180	2533
857	15196	2515
858	15212	2497
859	15228	2479
860	15245	2461
861	15260	2443
862	15276	2425
863	15290	2406
864	15306	2388
865	15322	2370
866	15338	2352
867	15355	2335
868	15370	2317
869	15386	2299
870	15403	2281
871	15420	2263
872	15435	2245
873	15451	2227
874	15467	2209
875	15483	2191
876	15501	2174
877	15517	2156
878	15534	2138
879	15550	2120
880	15566	2102
881	15583	2084
882	15599	2067
883	15616	2049
884	15631	2031
885	15647	2013
886	15662	1995
887	15678	1977
888	15694	1959
889	15710	1941
890	15727	1924
891	15743	1906
892	15759	1888
893	15776	1870
894	15792	1852
895	15808	1834
896	15823	1817
897	15839	1799
898	15855	1781
899	15871	1763
900	15888	1745
901	15904	1728
902	15921	1710
903	15938	1692
904	15956	1674
905	15972	1657
906	15989	1639
907	16004	1621
908	16021	1603
909	16036	1586
910	16051	1568
911	16067	1550
912	16084	1532
913	16100	1514
914	16116	1497
915	16131	1479
916	16147	1461
917	16164	1443
918	16181	1426
919	16199	1408
920	16215	1390
921	16230	1373
922	16247	1355
923	16262	1337
924	16277	1319
925	16293	1302
926	16309	1284
927	16325	1266
928	16342	1248
929	16357	1231
930	16373	1213
931	16389	1195
932	16405	1178
933	16421	1160
934	16437	1142
935	16454	1125
936	16469	1107
937	16484	1089
938	16500	1071
939	16517	1054
940	16533	1036
941	16549	1018
942	16566	1001
943	16599	984
944	16614	967
945	16630	949
946	16646	931
947	16661	913
948	16677	896
949	16695	878
950	16711	861
951	16728	843
952	16744	825
953	16761	808
954	16778	790
955	16795	772
956	16812	755
957	16828	737
958	16843	720
959	16859	702
960	16875	684
961	16892	667
962	16908	649
963	16923	632
964	16939	614
965	16957	596
966	16973	579
967	16989	561
968	17006	544
969	17022	526
970	17038	508
971	17055	491
972	17070	473
973	17087	456
974	17103	438
975	17119	420
976	17137	403
977	17155	385
978	17172	368
979	17187	350
980	17203	333
981	17220	315
982	17236	298
983	17252	280
984	17268	262
985	17284	245
986	17297	227
987	17314	210
988	17330	192
989	17348	175
990	17365	157
991	17380	140
992	17396	122
993	17411	105
994	17427	87
995	17444	70
996	17459	52
997	17474	35
998	17489	17
999	17506	0
